#name	#clr_value
Shewanella putrefaciens	1.7713847695674778
Myxococcus xanthus	0.0985175677956641
Corallococcus macrosporus	-0.9806636782519607
Cystobacter fuscus	-0.6796336825879794
Archangium gephyra	-0.28169367391594186
Chondromyces crocatus	0.6528047773276258
Sorangium cellulosum	-0.026421168812635856
Vitreoscilla filiformis	1.4275762870598887
Lysobacter enzymogenes	1.5078870382484835
Stella humosa	0.1954275808037205
Gimesia maris	-0.9806636782519607
Methylocystis parvus	0.22345630440396405
Brachyspira hyodysenteriae	-0.6796336825879794
Treponema phagedenis	-0.28169367391594186
Leptospira interrogans	-0.9806636782519607
Azospirillum brasilense	0.1654643574262773
Campylobacter coli	0.019336321748039304
Campylobacter fetus	-0.9806636782519607
Campylobacter jejuni	0.4964575764677017
Campylobacter concisus	0.1654643574262773
Campylobacter mucosalis	-0.6796336825879794
Helicobacter pylori	-0.3786036869239983
Pseudoalteromonas carrageenovora	-0.9806636782519607
Brucella abortus	-0.28169367391594186
Elizabethkingia meningoseptica	0.8255162957319264
Flavobacterium sp.	0.019336321748039304
Chryseobacterium balustinum	0.8885680414790154
Empedobacter brevis	2.175279339719876
Chryseobacterium gleum	1.9224263087399827
Chryseobacterium indologenes	2.027084099748779
Chryseobacterium indoltheticum	1.0912183290541646
Myroides odoratus	-0.28169367391594186
Sphingobacterium spiritivorum	1.0527600772349888
Sphingobacterium thalpophilum	0.24978524312631317
Paracoccus denitrificans	0.6914341796837568
Thermus thermophilus	0.2980899227008682
Comamonas testosteroni	4.319076721501075
Pseudomonas aeruginosa	3.5585755641216785
Pseudoalteromonas atlantica	-0.5035424235322982
Burkholderia cepacia	0.5106980155823119
Brevundimonas diminuta	2.239444409788094
Pseudomonas fluorescens	5.3186653335390774
Pseudomonas fragi	5.355014022119686
Hydrogenophilus thermoluteolus	-0.6796336825879794
Pseudomonas mendocina	1.68585430230292
Pseudomonas oleovorans	2.0184668630354103
Pseudomonas putida	3.4780950011234704
Ralstonia solanacearum	1.835577621739822
Pseudomonas stutzeri	2.7938532874765882
Pseudomonas syringae	3.168986434846154
Pseudomonas amygdali	2.4575621293525685
Pseudomonas syringae group genomosp. 3	2.181003734185775
Ralstonia pickettii	0.7752111774205307
Pseudomonas chlororaphis	2.9352635334451547
Burkholderia glumae	0.13327967405487604
Xanthomonas campestris	1.3415556164819584
Xanthomonas citri	2.0038636350918315
Xanthomonas oryzae	1.3977342226961769
Azotobacter chroococcum	0.7596990112422831
Agrobacterium tumefaciens	1.6104009287745384
Agrobacterium rhizogenes	0.1654643574262773
Agrobacterium vitis	0.4507000859070265
Bradyrhizobium japonicum	-0.07757369126001713
Bradyrhizobium sp.	-0.9806636782519607
Sinorhizobium fredii	0.2980899227008682
Mesorhizobium loti	0.39954756345964526
Sinorhizobium meliloti	0.5106980155823119
Rhizobium leguminosarum	0.6425856121459397
Rhizobium phaseoli	-0.5035424235322982
Methylorubrum extorquens	0.3810641577656321
Methylococcus capsulatus	0.8766688181793076
Methylomonas clara	0.060729006906264336
Acetobacter aceti	0.9384144141241131
Komagataeibacter hansenii	-0.026421168812635856
Acetobacter pasteurianus	0.6914341796837568
Legionella pneumophila	0.36175900257024546
Legionella hackeliae	-0.9806636782519607
Legionella longbeachae	-0.6796336825879794
Legionella spiritensis	-0.28169367391594186
Legionella israelensis	-0.5035424235322982
Legionella jordanis	-0.6796336825879794
Acinetobacter baumannii	4.539898452712174
Acinetobacter calcoaceticus	2.375170817632975
Moraxella bovis	0.3810641577656321
Moraxella nonliquefaciens	1.215235974157273
Moraxella catarrhalis	0.7901883333901835
Neisseria cinerea	0.48173431964699526
Neisseria flavescens	0.6528047773276258
Neisseria gonorrhoeae	0.6528047773276258
Neisseria lactamica	1.1056961524227875
Neisseria meningitidis	1.9961446590861052
Neisseria mucosa	1.8349140700723063
Neisseria polysaccharea	0.36175900257024546
Neisseria sicca	1.3203663174120204
Neisseria animalis	1.3977342226961769
Neisseria canis	1.568339583773827
Neisseria elongata	1.3617590025702453
Kingella denitrificans	1.162351122002134
Kingella kingae	1.6203092174347873
Kingella oralis	1.156056888904446
Alcaligenes faecalis	2.4785779866261213
Bordetella bronchiseptica	1.7879744229956538
Bordetella parapertussis	1.4120332750077047
Bordetella pertussis	0.019336321748039304
Bordetella avium	0.8186768712016209
Brucella anthropi	1.8110269707681572
Chromobacterium violaceum	0.6820941534296132
Iodobacter fluviatilis	-0.026421168812635856
Eikenella corrodens	1.3310901828037933
Citrobacter koseri	1.7782482141460128
Citrobacter freundii	3.472639369466622
Klebsiella aerogenes	2.0236576955306815
Pantoea agglomerans	1.9692140257849138
Enterobacter cloacae	4.238818679825074
Pantoea ananatis	0.8454111244488656
Pectobacterium carotovorum	0.7901883333901835
Escherichia coli	4.126363034752938
Shimwellia blattae	0.019336321748039304
Escherichia fergusonii	1.2472230263617128
Atlantibacter hermannii	1.7361740450475636
Pseudescherichia vulneris	1.5956776719538321
Hafnia alvei	2.2960278505930787
Klebsiella oxytoca	2.4830800429950983
Klebsiella pneumoniae	3.727068263698445
Raoultella planticola	1.7165656645077565
Raoultella terrigena	1.4649405250216365
Morganella morganii	1.8687557355449387
Proteus mirabilis	2.255369468865675
Proteus vulgaris	1.7411469369605859
Providencia rettgeri	1.762846086476469
Providencia stuartii	1.7517300815710077
Salmonella enterica	2.7376719006565455
Serratia liquefaciens	2.4346436139736065
Serratia marcescens	2.409033869954425
Serratia odorifera	0.6528047773276258
Shigella boydii	0.6213963130760016
Shigella dysenteriae	0.7752111774205307
Shigella flexneri	1.006108056014284
Shigella sonnei	0.9638189938982078
Xenorhabdus nematophila	-0.3786036869239983
Yersinia enterocolitica	1.35379007289897
Yersinia intermedia	1.010562397440534
Yersinia pestis	0.3810641577656321
Yersinia pseudotuberculosis	0.864434361762296
Edwardsiella tarda	0.6627889982342267
Arsenophonus nasoniae	-0.07757369126001713
Aeromonas hydrophila	2.0919537982932757
Aeromonas salmonicida	1.8309113276186324
Aeromonas caviae	2.635076010367194
Aeromonas jandaei	0.7517300815710077
Aeromonas media	1.989217965494539
Aeromonas schubertii	-0.5035424235322982
Aeromonas veronii	2.4830800429950983
Aeromonas allosaccharophila	0.5991199183648493
Vibrio alginolyticus	1.0016075547876075
Vibrio cholerae	1.7113014245153992
Vibrio harveyi	-0.026421168812635856
Vibrio parahaemolyticus	0.9278213406266889
Vibrio vulnificus	0.6425856121459397
Grimontia hollisae	-0.20251242786831705
Vibrio mimicus	-0.026421168812635856
Vibrio cincinnatiensis	0.39954756345964526
Vibrio fluvialis	0.7974875721316829
Vibrio campbellii	0.13327967405487604
Vibrio gazogenes	-0.9806636782519607
Vibrio mediterranei	-0.13556563823770387
Vibrio natriegens	-0.3786036869239983
Plesiomonas shigelloides	0.8766688181793076
