geneE	0.0280	12
geneC	0.1158	90
geneE	0.1111	9
geneD	0.2202	12
geneD	0.1345	24
geneC	0.3238	30
geneA	0.2391	62
geneA	0.1531	31
geneE	0.4466	89
geneB	0.1930	18
geneA	0.2667	3
geneD	0.4036	83
geneA	0.2493	76
geneD	0.4066	92
geneE	0.4054	15
geneC	0.3026	75
geneE	0.1695	53
geneD	0.4434	86
geneD	0.3764	64
geneE	0.2270	73
geneC	0.0771	71
geneC	0.3010	58
geneC	0.0813	21
geneC	0.2150	79
geneC	0.0700	90
geneD	0.1595	14
geneA	0.1864	41
geneD	0.0781	16
geneE	0.1974	72
geneA	0.2736	44
geneB	0.1565	56
geneC	0.1369	29
geneD	0.0611	13
geneA	0.2324	57
geneE	0.2445	45
geneA	0.3285	100
geneB	0.1291	38
geneE	0.1301	11
geneD	0.1017	12
geneB	0.1861	81
geneE	0.3240	32
geneB	0.1389	58
geneA	0.2782	75
geneA	0.3353	22
geneB	0.1728	35
geneE	0.2475	44
geneE	0.0623	16
geneD	0.0821	29
geneA	0.2059	68
geneB	0.3281	75
geneE	0.2018	48
geneC	0.3022	98
geneC	0.1229	6
geneD	0.1580	4
geneE	0.1423	51
geneE	0.1943	41
geneB	0.0727	11
geneB	0.1004	6
geneA	0.3986	87
geneE	0.2824	28
geneE	0.0321	26
geneC	0.2641	51
geneD	0.2513	42
geneA	0.2773	19
geneC	0.3655	27
geneB	0.3046	99
geneC	0.1629	23
geneE	0.4230	91
geneD	0.2924	61
geneB	0.3014	22
geneC	0.4214	57
geneC	0.1381	89
geneA	0.4888	95
geneE	0.4163	91
geneA	0.1840	39
geneC	0.4396	75
geneD	0.3522	82
geneB	0.2383	83
geneC	0.1728	91
geneB	0.0794	7
geneC	0.0323	35
geneB	0.0892	23
geneA	0.2100	21
geneC	0.2734	83
geneA	0.4175	78
geneC	0.2554	34
geneD	0.1954	45
geneE	0.1065	82
geneD	0.3453	92
geneA	0.2846	3
geneE	0.2565	32
geneA	0.2910	9
geneB	0.1980	96
geneD	0.4286	96
geneE	0.2003	84
geneE	0.1976	84
geneC	0.2611	37
geneD	0.2329	67
geneE	0.0786	36
geneB	0.3864	55
geneC	0.3854	17
geneB	0.1381	57
geneC	0.3752	71
geneE	0.3121	18
geneB	0.3998	64
geneE	0.1878	52
geneC	0.3081	98
geneC	0.4163	35
geneB	0.2195	41
geneA	0.2103	22
geneA	0.1121	21
geneE	0.4589	79
geneA	0.3607	80
geneC	0.4235	46
geneC	0.1520	46
geneE	0.2918	20
geneA	0.4112	85
geneA	0.2471	43
geneA	0.3981	89
geneC	0.0628	63
geneB	0.1927	52
geneA	0.2743	16
geneE	0.2466	30
geneC	0.2019	29
geneE	0.2291	21
geneA	0.1759	16
geneC	0.2286	13
geneA	0.2840	18
geneB	0.2880	58
geneB	0.3145	24
geneB	0.3037	48
geneB	0.0351	19
geneC	0.2364	5
geneD	0.2366	27
geneE	0.0451	11
geneA	0.0519	4
geneE	0.1818	15
geneE	0.1608	66
geneE	0.3851	8
geneB	0.3058	54
geneA	0.2974	80
